Rank,Name,Nationality,State,Height_cm,Appearances,Wins,Losses,Goals_per_match,Assists,Yellow_cards,Red_cards
1,Alan Shearer,England,260,183,441,203,129,0.59,64,41,2
2,Wayne Rooney,England,208,176,491,284,103,0.42,103,102,3
3,Andrew Cole,England,187,178,414,206,106,0.45,73,40,6
4,Sergio Agüero,Argentina,184,173,275,186,45,0.67,47,23,1
5,Frank Lampard,England,177,184,609,349,127,0.29,102,59,2
6,Thierry Henry,France,175,188,258,157,39,0.68,74,30,0
7,Harry Kane,England,170,188,245,136,57,0.68,34,27,0
8,Robbie Fowler,England,163,173,379,164,111,0.43,39,27,2
9,Jermain Defoe,England,162,171,496,185,188,0.33,33,40,2
10,Michael Owen,England,150,173,326,142,95,0.46,31,10,1
11,Les Ferdinand,England,149,180,351,138,119,0.42,49,43,3
12,Teddy Sheringham,England,146,183,418,184,133,0.35000000000000003,76,42,1
13,Robin van Persie,Netherlands,144,183,280,153,59,0.51,53,47,2
14,Jimmy Floyd Hasselbaink,Netherlands,127,183,288,124,83,0.44,58,44,2
14,Jamie Vardy,England,127,179,245,103,87,0.48,38,21,3
16,Robbie Keane,Ireland,126,176,349,139,122,0.36,37,17,2
17,Nicolas Anelka,France,125,185,364,182,95,0.34,48,5,1
18,Dwight Yorke,Trinidad & Tobago,123,178,375,169,116,0.33,50,24,1
19,Steven Gerrard,England,120,185,504,255,119,0.24,92,61,6
20,Romelu Lukaku,Belgium,118,190,252,112,80,0.45,35,19,0
