Rank,Name,Nationality,State
1,Alan Shearer,England,260
2,Wayne Rooney,England,208
3,Andrew Cole,England,187
4,Sergio Agüero,Argentina,184
5,Frank Lampard,England,177
6,Thierry Henry,France,175
7,Harry Kane,England,170
8,Robbie Fowler,England,163
9,Jermain Defoe,England,162
10,Michael Owen,England,150
11,Les Ferdinand,England,149
12,Teddy Sheringham,England,146
13,Robin van Persie,Netherlands,144
14,Jimmy Floyd Hasselbaink,Netherlands,127
14,Jamie Vardy,England,127
16,Robbie Keane,Ireland,126
17,Nicolas Anelka,France,125
18,Dwight Yorke,Trinidad & Tobago,123
19,Steven Gerrard,England,120
20,Romelu Lukaku,Belgium,118
